MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
2,1,2,Fernando Pizarro,TBT,P,39581,9796,1267,69,1405
4,3,4,Flash Haze,TBT,P,17537,1427,1467,42,1551
1,1,1,Frank Haltom,,,19491,,1250,125,1500
3,3,3,Frank Sposaro,DTP,P,20058,2025,1444,70,1584
1,1,1,Gabrielle Torrison,ALU,P,,,,,
3,1,3,Gavin Carrol,,,54608,8012,1419,44,1507
5,4,5,Geoff Simons,PBR,P,16570,765,1532,41,1613
2,1,2,George Kent,,,48187,5701,1327,63,1454
3,1,3,George Lally,,,8897,10835,1365,99,1564
3,3,3,Gilbert Sandejas,,,30152,1856,1438,50,1538
4,3,4,Gordon Ornelas,,,3289,1908,1476,44,1564
2,1,2,Greg Balducci,LLK,C,41037,12325,1338,56,1451
2,1,2,Greg Gramenz,,,53806,17295,1321,87,1495
4,5,5,Hannah Hatch,,,17104,452,1479,47,1573
3,2,3,Harold Noble,,,48168,4505,1402,38,1479
3,3,3,Hayden McCabe,PBR,P,17604,2036,1439,43,1525
1,1,1,Heather Brammer,,,9597,,1250,125,1500
4,3,4,Heather Loudon,SSS,C,9142,1189,1450,29,1508
3,2,3,Heather Thompson,SWL,P,44541,3298,1388,42,1472
3,3,3,Heather Willott,,,12716,2440,1365,49,1464
2,1,2,Honi Harrison,DIH,P,48095,6169,1304,57,1418
2,1,2,Ian Spicknal,CHS,P,,,1304,81,1466
1,1,1,Isaac Harney,,,34115,6487,1249,78,1405
2,1,2,Isaac Kaplan-Woolner,,,42014,9753,1302,60,1422
2,1,2,Jackson Mccomish,ALU,P,,,1331,95,1521
3,1,3,Jackson Ryan,,,53964,12272,1355,62,1478
2,1,2,Jacob Bevan,KNR,P,47775,7918,1340,53,1445
4,3,4,Jake Hei,,,50081,2344,1449,57,1563
1,1,1,James Brown,,,57265,22216,1250,125,1500
2,3,3,James Daniels,,,21270,2123,1336,91,1517
5,4,5,James Frost-Winn,,,35952,682,1546,34,1614
2,1,2,James Orrell,,,59031,25676,1340,60,1460
4,3,4,James Thompson,NLT,P,45585,1563,1498,48,1593
4,1,4,Jamie Winsor,DTP,P,24907,9356,1491,57,1606
1,1,1,Janet Owen,,,49478,,1127,125,1377
4,5,5,Jared Baldridge,IBL,P,39582,479,1488,41,1570
3,3,3,Jared Gamble,IBL,C,24018,1064,1418,54,1525
6,5,6,Jarrett Gaddy,SJK,P,6143,332,1605,51,1706
1,1,1,Jarrod Job,,,49094,9494,1099,98,1294
5,4,5,Jason Hatch,,,614,605,1548,58,1665
3,3,3,Jason Heitt,NLT,P,33168,1576,1424,54,1533
1,1,1,Jason Lombard,LLK,P,,,1243,68,1379
2,3,3,Jason Trojan,,,9595,2490,1282,78,1438
1,1,1,Jay Hain,FRZ,P,,,1223,91,1405
1,1,1,Jay Sowell,,,52600,23609,1161,85,1332
3,1,3,Jay Sweeney,DIH,C,48097,5600,1427,58,1543
