Player Name,IFPA,MPID
Colin O'Keefe,75072,7002
Colin Urban,14499,4086
Colleen Schroht,43581,
Collin Walker,,
Colton Christensen,,
Connor Macheras,66139,11705
Connor Stowe,30828,685
Connor Vermeys,39832,21948
Conrad Gains,,
Corbin Sheffels,21493,4189
Corbin Stratton,,
Corey Barreras,45715,
Corey Klier,56657,11885
Corey Turley,78514,
Cory Diamonds,91978,23144
Cory Lampe,72860,11595
Cory Moormeier,15562,
Courtney Ware,,
Courtney Zeller,86948,21331
Craig Cainkar,58391,10012
Craig Easson,70043,10593
Craig Gary,97081,
Craig Geaschel,75289,12775
Craig R Jones,63076,
Craig Sherbahn,,
Craigo gray,,
Cristian Pecile,,
Croix Frigo,,
Crystal Ambrose,,
Curtis Granger,92061,24586
Dain Byquist,,
Dakota Green,42221,
Dakota Von,,
Dakota Warden,95724,24480
Damon LaPoint,,
Dan Atchison,,
Dan Baumfeld,,
Dan Corcoran,12804,38856
Dan Crakes,22603,
Dan Crowdus,41196,
Dan Danger,15561,
Dan Doherty,71532,
Dan Gillespie,,
Dan McLane,41600,2267
Dana Harper,131515,
Danae Hackett,36832,18026
Dane Hjeresen,73573,11829
Daniel Anthony,89390,33281
Daniel Belarmino,95207,
Daniel Marino,,
Daniel Mays,64896,15643
Daniel Miller WA,30016,
Daniel Plaisted,22636,
Daniel Reddin,39585,3087
Daniel Romo,107130,26164
Daniel Rone,13855,1190
Daniel Scott Clark,37391,
Daniel Trobare,60629,6526
Danielle Crowson,31959,4162
Danielle Wilcox,51575,5317
Danny Fair,,
Danny Linh,95725,31962
Danny Rashid,20712,
Darick Ty,,
Darin Lange,41585,3733
Daron Coull,59556,7993
Darryl Tillman,,
Dave Bush,58758,
Dave Dimoff,5500,32852
Dave Kane,63699,9724
Dave Lerner,,
Dave Mealy,81409,
Dave Ritter,45164,
Dave Stewart,54,17
Davey Jones,,
David Adams,126470,41456
David Chernicoff,42658,13145
David Donner,40425,
David Griffin,41500,
David Johnson,117011,
David Johnston US,60588,6374
David Latimer,12001,3721
David Morell,8473,
David Palen,,
David Rauschenberg,23614,3906
David Tate,,
David Teichner,,
David Weil,52495,
Dawnda Durbin,55991,7407
Daysha Gunther,56095,
Dean Shivers,67622,
Deborah Torrison,,
Demarus Sandlin,72654,
Demarus Tevuk,79056,
Dennis Ayres,24659,13132
Denton Dickson,84246,18202
Derek Lee,39967,
Derek Miazga,24789,4466
Derek Muertos,73628,15290
Derek Neal,52533,27318
Derek Simmons,75650,
Derek Tropf,,
Derrick Downing,87459,
Devan Bland,63673,7531
Devon Lamoreaux,117616,
Diane Panagiotopoulos,95380,24350
Dianna Dno,,
Dickie Hornaman,45375,9747
Diego Medrano,54256,26731
Dieter Hundt,9667,
Dillon Heath,,
Dina Robinson,107958,33341
Dingo Freid,46367,
Dingo Hilgard,28709,10803
Dj Youngblood,,
DL Salo,17535,5898
Dom Minichiello,,
Dominique Shadduck,47780,37228
Donald Warren,7779,31365
Donna Hucklebee,99814,26163
Donna Ruacho,115960,40480
Donny Passey,,
Donovan Packman,,
Doug Broadbent,61746,
Doug Turney,,
Douglas Hansen,74717,12397
Dr. Frank Sposaro,20058,17470
Drea Berthold,,
Drew Mulkey,34921,10559
Drew Penhollow,,
Duncan Adams,,
Dustin Ryerson,,
Dwayne Collins,33062,7059
Dylan Frazier,118508,
Dylan Higgins,44531,
Dylan Ingham,,
Dylan Reiff,14201,27249
Dylan Snow,56782,7235
Easy Crew,136341,43225
Ed Cendejas,,
Edmund Nash,5503,29067
Elena Wright,83095,18209
Eliot Flannery,107548,29127
Elisa Hogue,132386,44500
Elisabeth Dingivan,,
Elizabeth Gerth,49618,
Ellie Kohler,,
Elliott Johnson,70949,17637
Eloise ELO,40838,19912
Elsa Bonyhadi,102106,
Emerson Gelb,57266,
Emily Beirne,50126,7460
Emily Gibian,54257,
Emily Henshaw,42198,
Emily Hunter WA,,
Emily LaPatra,55026,
Emily Miller,,
Emily Tower,49472,
Emily Young,41142,26886
Emir Turulja,,
Emma Eichhorn,6405,2638
Emma Frost,44906,7909
Emma Hellthaler,,
Eric Bruns,,
Eric Chambers,93638,23809
Eric Csakany,32895,2699
Eric Dushoff,24748,
Eric Eastman,,
Eric Garrison,82616,18073
Eric Hohnstein,35483,
Eric Kotz,25952,
Eric Logan,,
Eric Morales,23997,6642
Eric Ngonevolalath,,
Eric Segraves,,
Eric Torrison,,
Erica Ward,119111,
Erick Dirvanowski,87528,20259
Erick Spaan,114273,34564
Erik Graciosa,17297,6039
Erik Gust,3287,724
Erik McClintock,99046,19068
Erik Rikansrud,80317,33379
Erin Malysa,53444,4441
Erin McAdam,119695,40109
Erin Shadensack,40652,719
Esther Ahronheim,33641,992
Esty Randolph,,
Ethan Johnson,41603,
Eugene Chernov,,
Eva Ngo,61904,
Evan Adkins,34073,22102
Evan Amano,72562,28287
Evan Eckles,71038,23022
Evan Lesh,115703,
Evan Matt,68019,34511
Evan McBride,15560,
Evan O'Brien,,
Evan Seftel,30847,39814
Evan Severson,71930,10934
Evan Williams,26816,995
Evan Zynda,95664,26679
Evelyn Toodlez,,
Fabian Benabente,52531,3500
Fabian Hartmann,90069,21911
Fabian Turcios,83019,24540
Faen Wilde,,
Fernando Pizarro,39581,
Fiona Chiong,54556,9097
Flash Haze,17537,
Forrest Avery,57450,6174
Forrest McIntyre,96100,25245
Foster Cronyn,,
Francis Carr,106293,
Frank Haltom,19491,
Frankie Fingers,79813,
Fred Wilmot,63070,
Freightlin Cox,,
Gabrielle Torrison,,
Gaelen Poage,,
Gage Glupker,123860,39959
Gareth Cody,64346,8040
Garret Croxon,79814,
Garrett Avery,96824,
Garrett Traub,51728,5140
Garrick West,41041,27603
Gary Sabo,,
Gavin Carrol,54608,6909
Geoff Greene,59261,
Geoff Jensen,55402,5351
Geoff Kirby,,
Geoff Simons,16570,2397
George Kent,48187,2701
Gia Simons,90062,
Gilbert Sandejas,30152,9005
Gillian Thomas,,
Glenden Hoyt,60354,8667
Gocelyn Morgado,90010,22399
Gordon Ornelas,3289,
Grace Elaine,96396,
Graham Klym,8644,17433
Graham Newman,49803,6952
Graham Wood,,
Greg Balducci,41037,
Greg DiCarlo,53792,
Greg Dunlap,84,738
Greg Gramenz,53806,
Greg Henak,,
Greg Larson,68484,
Greg Levine,116979,35919
Greg Weiss,,
Grey Ertl,101331,30349
Guadalupe Bryan,60135,12768
Gus Voss,89126,21668
Gustavo Fredrick,,
Haley Mountain,66763,14672
Hank Duhaime,108976,36126
Hannah Brand,40121,27665
Hannah Hatch,17104,3434
Hannah Olsen,7111,
Hannah Schurman,,
Hannah Van Pelt,,
Harley Tiechman,,
Harold Noble,48168,18220
Hayden McCabe,17604,38503
Haylee Morse-Miller,45179,
Hayley Thompson,,
Heather All-Weather,,
Heather Brammer,9597,
Heather Loudon,9142,8723
Heather Shypula,44541,3119
Heather Stevenson OR,65935,
Heather Willott,12716,
Holli Winchell,38399,
Honi Harrison,48095,3121
Hunter Heeke,133564,
Hunter Vogt,95731,32272
Ian Beatson,60093,14673
Ian Duncan,20140,14156
Ian Humphreys,,
Ian Lucas,,
Ian McCann,,
Ian Spicknall,75725,7074
Illirik Smirnov,71037,
Imran Islam,,
Isaac Harney,34115,14993
Isaac Kaplan-Woolner,42014,11175
Isaac Vicknair,,
Isabelle Grams,74308,11760
Ivan Gwynn,34181,
Jackson McComish,84887,18317
Jackson Ryan,53964,4376
Jacob Bevan,47775,
Jacob Emert,,
Jacob Ohman,,
Jacob Ricker,73434,
Jacque Simmons,103866,30470
Jade Callaghan,78301,
Jake Beckerman,,
Jake Cochrane,65873,8800
Jake Hei,50081,12668
Jake Selby,81641,18857
James Blankenship,69626,
James Brown,57265,18486
James Daniels,21270,6826
James Frost-Winn,35952,2706
James Furdell,112,43210
James Gibson,9598,
James Kim,,
James Maltos,,
James Noble,96555,27726
James Orrell,59031,9961
James Pettengill,,
James Pink,94218,
James Thompson,45585,2041
Jamie Edison,79005,14755
Jamie Goldman,,
Jamie Stormbreaker,24907,31515
Jandy Stephens,91105,22663
Janelle Oakley,,
Janet Newman,117618,36041
Janet Owen,49478,
Jaran Jones,70948,11001
Jared Baldridge,39582,587
Jared Bayliss,73752,14904
Jared Gamble,24018,9277
